match_type,seriesId,seriesName,matchId,matchDesc,matchFormat,matchstartDate,matchendDate,matchstate,matchstatus,team1Id,team1Name,team1SName,team2Id,team2Name,team2SName,venueid,match_ground_name,match_city,timezone,latitude,longitude,currBatTeamId,team1_innings1_inningsId,team1_innings1_runs,team1_innings1_wickets,team1_innings1_overs,team1_innings2_inningsId,team1_innings2_runs,team1_innings2_wickets,team1_innings2_overs,team2_innings1_inningsId,team2_innings1_runs,team2_innings1_wickets,team2_innings1_overs,team2_innings2_inningsId,team2_innings2_runs,team2_innings2_wickets,team2_innings2_overs,responseLastUpdated
Domestic,6725,Ranji Trophy 2023-24,74685,Elite Group D,TEST,2024-02-09,2024-02-12,Complete,Jammu and Kashmir won by 19 runs,252,Jammu and Kashmir,JK,465,Puducherry,PDC,543,Cricket Association Puducherry Siechem Ground,Puducherry,19800,11.912200,79.737396,252,1,106,10,28.4,3,152,10,67.5,2,172,10,55.1,4,67,10,35.3,1970-01-20
Women,7565,Asian Cricket Council Womens Premier Cup 2024,89129,"11th Match, Group C",T20,2024-02-11,2024-02-11,Complete,Indonesia Women won by 88 runs,484,Indonesia Women,IDNW,1083,Bahrain Women,BHRW,1293,Selangor Turf Club,Kuala Lumpur,28800,3.0446268,101.3394008,484,1,129,5,19.6,,,,,2,41,10,16.3,,,,,1970-01-20
Domestic,6725,Ranji Trophy 2023-24,74755,Elite Group A,TEST,2024-02-09,2024-02-12,Complete,Services won by an innings and 196 runs,461,Manipur,MNP,250,Services,SER,535,ADSA Railways Cricket Ground,"Vallabh Vidyanagar, Anand",19800,22.550659,72.923569,250,1,67,10,34.2,3,70,10,40.3,2,333,10,106.1,,,,,1970-01-20
International,7481,"Afghanistan tour of Sri Lanka, 2024",87880,Only Test,TEST,2024-02-02,2024-02-06,Complete,Sri Lanka won by 10 wkts,96,Afghanistan,AFG,5,Sri Lanka,SL,14,Sinhalese Sports Club,Colombo,19800,6.905929,79.869403,5,1,198,10,62.4,3,296,10,112.3,2,439,10,109.2,4,56,,7.2,1970-01-20
International,7511,ACC Mens T20I Challenger Cup 2024,88410,3rd Place Play-off,T20,2024-02-11,2024-02-11,Complete,Singapore won by 8 wkts,547,Japan,JPN,190,Singapore,SIN,474,Terdthai Cricket Ground,Bangkok,25200,13.756331,100.501765,190,1,215,3,19.6,,,,,2,216,2,19.2,,,,,1970-01-20
International,7511,ACC Mens T20I Challenger Cup 2024,88361,"10th Match, Group A",T20,2024-02-05,2024-02-05,Complete,Cambodia won by 10 runs,1447,Cambodia,CBD,555,Bhutan,BTN,474,Terdthai Cricket Ground,Bangkok,25200,13.756331,100.501765,1447,1,174,6,19.6,,,,,2,164,6,19.6,,,,,1970-01-20
League,7257,"International League T20, 2024",82850,18th Match,T20,2024-02-02,2024-02-02,Complete,MI Emirates won by 8 wkts,1312,Sharjah Warriors,SW,1307,MI Emirates,MIE,94,Sheikh Zayed Stadium,Abu Dhabi,14400,24.416138,54.453566,1307,1,129,10,19.6,,,,,2,133,2,11.1,,,,,1970-01-20
League,7044,"SA20, 2024",80110,Qualifier 2,T20,2024-02-08,2024-02-08,Complete,Durban Super Giants won by 69 runs,1242,Durban Super Giants,DSG,1249,Joburg Super Kings,JSK,88,The Wanderers Stadium,Johannesburg,7200,-26.131141,28.057397,1242,1,211,6,19.6,,,,,2,142,10,17.4,,,,,1970-01-20
Domestic,7175,ICC Under 19 World Cup 2024,86728,Final,ODI,2024-02-11,2024-02-11,Complete,Australia U19 won by 79 runs,129,Australia U19,AUSU19,54,India U19,INDU19,135,Willowmoore Park,Benoni,7200,55.430751,-4.634697,129,1,253,7,49.6,,,,,2,174,10,43.5,,,,,1970-01-20
Domestic,7175,ICC Under 19 World Cup 2024,86707,"37th Match, Super Six, Group 1",ODI,2024-02-03,2024-02-03,Complete,Ireland U19 won by 41 runs (DLS method),226,Ireland U19,IREU19,55,New Zealand U19,NZU19,72,Mangaung Oval,Bloemfontein,7200,-29.116752,26.20519,226,1,267,9,49.6,,,,,2,131,5,32.1,,,,,1970-01-20
League,7257,"International League T20, 2024",82908,Qualifier 1,T20,2024-02-14,2024-02-14,Complete,MI Emirates won by 45 runs,1307,MI Emirates,MIE,1319,Gulf Giants,GG,153,Dubai International Cricket Stadium,Dubai,14400,25.046842,55.218969,1307,1,163,7,19.6,,,,,2,118,10,18.2,,,,,1970-01-20
League,7257,"International League T20, 2024",82857,19th Match,T20,2024-02-03,2024-02-03,Complete,Desert Vipers won by 6 wkts,1319,Gulf Giants,GG,1326,Desert Vipers,DV,153,Dubai International Cricket Stadium,Dubai,14400,25.046842,55.218969,1326,1,160,7,19.6,,,,,2,161,4,16.5,,,,,1970-01-20
League,7422,Bangladesh Premier League 2024,87033,24th Match,T20,2024-02-07,2024-02-07,Complete,Sylhet Strikers won by 5 wkts,1895,Durdanto Dhaka,DRD,1412,Sylhet Strikers,SYST,128,Shere Bangla National Stadium,Dhaka,21600,23.806966,90.363576,1412,1,124,8,19.6,,,,,2,129,5,18.6,,,,,1970-01-20
Women,6311,"South Africa Women tour of Australia, 2024",70466,3rd ODI (ICC Championship Match),ODI,2024-02-10,2024-02-10,Complete,Australia Women won by 110 runs (DLS method),100,Australia Women,AUSW,260,South Africa Women,RSAW,301,North Sydney Oval,Sydney,39600,-33.868820,151.209296,100,1,277,9,49.6,,,,,2,127,10,24.3,,,,,1970-01-20
International,7511,ACC Mens T20I Challenger Cup 2024,88326,"5th Match, Group A",T20,2024-02-03,2024-02-03,Complete,Saudi Arabia won by 8 wkts,555,Bhutan,BTN,571,Saudi Arabia,SAU,474,Terdthai Cricket Ground,Bangkok,25200,13.756331,100.501765,571,1,89,10,18.5,,,,,2,93,2,10.6,,,,,1970-01-20
League,7422,Bangladesh Premier League 2024,87078,34th Match,T20,2024-02-16,2024-02-16,Complete,Rangpur Riders won by 18 runs,256,Rangpur Riders,RGR,622,Chattogram Challengers,CGC,93,Zahur Ahmed Chowdhury Stadium,Chattogram,21600,22.355898,91.767766,256,1,187,8,19.6,,,,,2,169,6,19.6,,,,,1970-01-20
Domestic,6725,Ranji Trophy 2023-24,74587,Elite Group C,TEST,2024-02-02,2024-02-05,Complete,Tripura won by 156 runs,247,Tripura,TRI,163,Gujarat,GUJ,50,Narendra Modi Stadium,Ahmedabad,19800,23.091785,72.597465,247,1,146,10,47.4,3,343,10,81.6,2,172,10,49.3,4,161,10,52.3,1970-01-20
Domestic,7261,CSA Four-Day Series Division One 2023-24,83036,21st Match,TEST,2024-02-14,2024-02-17,Complete,Western Province won by 64 runs,917,Western Province,WPR,155,Warriors,WAR,73,St George's Park,Gqeberha,7200,-33.966545,25.610332,917,1,141,10,42.4,3,203,10,59.1,2,111,10,31.0,4,169,10,57.0,1970-01-20
International,6297,"West Indies tour of Australia, 2024",70347,2nd ODI,ODI,2024-02-04,2024-02-04,Complete,Australia won by 83 runs,4,Australia,AUS,10,West Indies,WI,34,Sydney Cricket Ground,Sydney,39600,-33.868820,151.209296,4,1,258,9,49.6,,,,,2,175,10,43.3,,,,,1970-01-20
International,7511,ACC Mens T20I Challenger Cup 2024,88333,"6th Match, Group A",T20,2024-02-03,2024-02-03,Complete,Cambodia won by 6 wkts,566,Indonesia,IDN,1447,Cambodia,CBD,474,Terdthai Cricket Ground,Bangkok,25200,13.756331,100.501765,1447,1,127,7,19.6,,,,,2,132,4,19.2,,,,,1970-01-20
International,7558,East Asia Cup 2024,89056,4th Match,T20,2024-02-15,2024-02-15,Complete,Hong Kong won by 27 runs,8,Hong Kong,HK,547,Japan,JPN,454,Mission Road Ground,Mong Kok,28800,22.323286,114.1828583,8,1,155,10,19.4,,,,,2,128,10,18.5,,,,,1970-01-20
Women,7565,Asian Cricket Council Womens Premier Cup 2024,89168,"17th Match, Group A",T20,2024-02-13,2024-02-13,Complete,Kuwait Women won by 27 runs,1097,Kuwait Women,KUWW,1517,Myanmar Women,MMRW,511,Royal Selangor Club,Kuala Lumpur,28800,3.1495091,101.6907603,1097,1,125,8,19.6,,,,,2,98,8,19.6,,,,,1970-01-20
Domestic,7009,The Ford Trophy 2023-24,79482,17th Match,ODI,2024-02-01,2024-02-02,Complete,No Result  -  due to rain,314,Wellington,WEL,313,Central Districts,CD,45,Basin Reserve,Wellington,46800,-41.161720,175.323914,,1,281,8,46.6,,,,,2,90,,19.3,,,,,1970-01-20
Women,6311,"South Africa Women tour of Australia, 2024",70459,2nd ODI (ICC Championship Match),ODI,2024-02-07,2024-02-07,Complete,South Africa Women won by 84 runs - 45over game - DLS method (Target 234),260,South Africa Women,RSAW,100,Australia Women,AUSW,301,North Sydney Oval,Sydney,39600,-33.868820,151.209296,260,1,229,6,44.6,,,,,2,149,10,29.3,,,,,1970-01-20
Women,7565,Asian Cricket Council Womens Premier Cup 2024,89143,"13th Match, Group A",T20,2024-02-11,2024-02-11,Complete,Myanmar Women won by 5 wkts,509,Singapore Women,SINW,1517,Myanmar Women,MMRW,1853,YSD-UKM Cricket Oval,Bangi,28800,2.9348189,101.7823779,1517,1,87,8,19.6,,,,,2,88,5,14.3,,,,,1970-01-20
Domestic,6725,Ranji Trophy 2023-24,74576,Elite Group C,TEST,2024-02-02,2024-02-05,Complete,Tamil Nadu won by 7 wkts,253,Goa,GOA,92,Tamil Nadu,TN,310,Goa Cricket Association Academy Ground,Porvorim,19800,15.524168,73.829683,92,1,241,10,75.5,3,168,10,65.5,2,273,10,90.2,4,142,3,49.5,1970-01-20
Domestic,7009,The Ford Trophy 2023-24,79510,22nd Match,ODI,2024-02-09,2024-02-10,Complete,Otago won by 15 runs,105,Otago,OTG,314,Wellington,WEL,45,Basin Reserve,Wellington,46800,-41.161720,175.323914,105,1,226,10,44.4,,,,,2,211,10,48.1,,,,,1970-01-20
Women,7565,Asian Cricket Council Womens Premier Cup 2024,89227,4th quarter final,T20,2024-02-14,2024-02-14,Complete,Nepal Women won by 8 wkts - Match Reduced to 12 Overs due to rain (Target : 50),1097,Kuwait Women,KUWW,383,Nepal Women,NEPW,1853,YSD-UKM Cricket Oval,Bangi,28800,2.9348189,101.7823779,383,1,73,9,19.6,,,,,2,50,2,6.5,,,,,1970-01-20
League,7257,"International League T20, 2024",82903,30th Match,T20,2024-02-11,2024-02-11,Complete,Desert Vipers won by 6 wkts - Match reduced to 18 overs per side due to rain,1312,Sharjah Warriors,SW,1326,Desert Vipers,DV,140,Sharjah Cricket Stadium,Sharjah,14400,25.33095,55.420902,1326,1,121,9,17.6,,,,,2,123,4,12.5,,,,,1970-01-20
League,7422,Bangladesh Premier League 2024,87047,27th Match,T20,2024-02-10,2024-02-10,Complete,Rangpur Riders won by 53 runs,256,Rangpur Riders,RGR,622,Chattogram Challengers,CGC,128,Shere Bangla National Stadium,Dhaka,21600,23.806966,90.363576,256,1,211,3,19.6,,,,,2,158,6,19.6,,,,,1970-01-20
Domestic,6983,Australia Domestic One-Day Cup 2023-24,79186,18th Match,ODI,2024-02-08,2024-02-08,Complete,Tasmania won by 5 wkts,164,Queensland,QL,166,Tasmania,TAS,35,The Gabba,Brisbane,36000,-27.485829,153.038055,166,1,150,10,35.3,,,,,2,153,5,26.6,,,,,1970-01-20
Domestic,6725,Ranji Trophy 2023-24,74594,Elite Group A,TEST,2024-02-02,2024-02-05,Complete,Jharkhand won by an innings and 102 runs,461,Manipur,MNP,243,Jharkhand,JHKD,49,Keenan Stadium,Jamshedpur,19800,22.805692,86.19144,243,1,170,10,62.4,3,232,10,93.3,2,504,5,119.1,,,,,1970-01-20
Domestic,7175,ICC Under 19 World Cup 2024,86693,"35th Match, Super Six, Group 2",ODI,2024-02-02,2024-02-02,Complete,South Africa U19 won by 119 runs,57,South Africa U19,RSAU19,172,Sri Lanka U19,SLU19,102,Senwes Park,Potchefstroom,7200,-26.695565,27.100691,57,1,232,8,49.6,,,,,2,113,10,23.2,,,,,1970-01-20
Women,7565,Asian Cricket Council Womens Premier Cup 2024,89094,"4th Match, Group D",T20,2024-02-10,2024-02-10,Complete,Nepal Women won by 8 wkts,502,Hong Kong Women,HKW,383,Nepal Women,NEPW,1293,Selangor Turf Club,Kuala Lumpur,28800,3.0446268,101.3394008,383,1,93,8,19.6,,,,,2,95,2,14.1,,,,,1970-01-20
Domestic,6725,Ranji Trophy 2023-24,74702,Elite Group C,TEST,2024-02-09,2024-02-12,Complete,Match drawn,128,Karnataka,KAR,92,Tamil Nadu,TN,11,MA Chidambaram Stadium,Chennai,19800,13.06282,80.279274,,1,366,10,119.4,3,139,10,56.4,2,151,10,69.2,4,338,8,104.6,1970-01-20
Domestic,7236,CSA Four-Day Series Division Two 2023-24,82553,17th Match,TEST,2024-02-08,2024-02-11,Complete,Knights won by 9 wkts,1768,South Western Districts,SWD,281,Knights,KNG,72,Mangaung Oval,Bloemfontein,7200,-29.116752,26.20519,281,1,69,10,32.1,3,273,10,70.2,2,214,10,56.2,4,129,1,21.5,1970-01-20
Women,6311,"South Africa Women tour of Australia, 2024",70452,1st ODI (ICC Championship Match),ODI,2024-02-03,2024-02-03,Complete,Australia Women won by 8 wkts,260,South Africa Women,RSAW,100,Australia Women,AUSW,40,Adelaide Oval,Adelaide,37800,-34.915516,138.596115,100,1,105,10,31.3,,,,,2,106,2,18.6,,,,,1970-01-20
League,7422,Bangladesh Premier League 2024,87005,19th Match,T20,2024-02-03,2024-02-03,Complete,Fortune Barishal won by 5 wkts,627,Khulna Tigers,KLT,807,Fortune Barishal,BRSAL,379,Sylhet International Cricket Stadium,Sylhet,21600,24.898183,91.863608,807,1,155,8,19.6,,,,,2,156,5,19.4,,,,,1970-01-20
Domestic,6725,Ranji Trophy 2023-24,74657,Elite Group C,TEST,2024-02-02,2024-02-05,Complete,Karnataka won by 1 wkt,246,Railways,RLYS,128,Karnataka,KAR,308,Lalabhai Contractor Stadium,Surat,19800,21.155455,72.769226,128,1,155,10,55.6,3,244,10,71.6,2,174,10,50.5,4,229,9,82.4,1970-01-20
Domestic,6725,Ranji Trophy 2023-24,74667,Plate,TEST,2024-02-02,2024-02-05,Complete,Nagaland won by an innings and 38 runs,468,Arunachal Pradesh,ARNP,464,Nagaland,NGL,537,"Nagaland Cricket Stadium, Sovima",Dimapur,19800,25.807779,93.742126,464,1,124,10,39.1,3,180,10,65.3,2,342,10,81.2,,,,,1970-01-20
Domestic,6725,Ranji Trophy 2023-24,74772,Plate 2nd Semi Final,TEST,2024-02-09,2024-02-13,Complete,Meghalaya won by 6 wkts,463,Mizoram,MIZ,462,Meghalaya,MGLY,593,Mangaldoi Sports Association Ground,"Ward No 2, Mangaldoi",19800,26.4433028,92.0343162,462,1,144,10,46.3,3,153,10,38.0,2,145,10,44.4,4,156,4,35.5,1970-01-20
Domestic,6725,Ranji Trophy 2023-24,74695,Elite Group B,TEST,2024-02-09,2024-02-12,Complete,Match drawn,95,Mumbai,MUM,375,Chhattisgarh,CG,335,Shaheed Veer Narayan Singh International Stadium,Raipur,19800,21.203523,81.823929,,1,351,10,101.4,3,253,6,82.0,2,350,10,106.1,,,,,1970-01-20
Domestic,6983,Australia Domestic One-Day Cup 2023-24,79203,20th Match,ODI,2024-02-14,2024-02-14,Complete,Western Australia won by 52 runs,166,Tasmania,TAS,87,Western Australia,WA,39,Bellerive Oval,Hobart,39600,-42.877296,147.374013,87,2,268,10,36.2,,,,,1,320,4,49.6,,,,,1970-01-20
International,7481,"Afghanistan tour of Sri Lanka, 2024",87887,1st ODI,ODI,2024-02-09,2024-02-09,Complete,Sri Lanka won by 42 runs,5,Sri Lanka,SL,96,Afghanistan,AFG,254,Pallekele International Cricket Stadium,Pallekele,19800,7.280691,80.722493,5,1,381,3,49.6,,,,,2,339,6,49.6,,,,,1970-01-20
International,6297,"West Indies tour of Australia, 2024",70368,2nd T20I,T20,2024-02-11,2024-02-11,Complete,Australia won by 34 runs,4,Australia,AUS,10,West Indies,WI,40,Adelaide Oval,Adelaide,37800,-34.915516,138.596115,4,1,241,4,19.6,,,,,2,207,9,19.6,,,,,1970-01-20
League,7257,"International League T20, 2024",82889,28th Match,T20,2024-02-10,2024-02-10,Complete,Gulf Giants won by 3 runs,1319,Gulf Giants,GG,1300,Abu Dhabi Knight Riders,ADKR,153,Dubai International Cricket Stadium,Dubai,14400,25.046842,55.218969,1319,1,166,3,19.6,,,,,2,163,9,19.6,,,,,1970-01-20
Domestic,6725,Ranji Trophy 2023-24,74713,Elite Group C,TEST,2024-02-09,2024-02-12,Complete,Railways won by 63 runs,246,Railways,RLYS,253,Goa,GOA,308,Lalabhai Contractor Stadium,Surat,19800,21.155455,72.769226,246,1,297,10,90.5,3,208,10,63.3,2,200,10,68.2,4,242,10,65.2,1970-01-20
Domestic,7009,The Ford Trophy 2023-24,79515,23rd Match,ODI,2024-02-09,2024-02-10,Complete,Central Districts won by 6 wkts,186,Auckland,AKL,313,Central Districts,CD,44,McLean Park,Napier,46800,-39.50178,176.913015,313,1,233,10,49.1,,,,,2,234,4,49.1,,,,,1970-01-20
Women,7565,Asian Cricket Council Womens Premier Cup 2024,89098,"5th Match, Group A",T20,2024-02-10,2024-02-10,Complete,Kuwait Women won by 10 wkts,509,Singapore Women,SINW,1097,Kuwait Women,KUWW,394,Bayuemas Oval,Kuala Lumpur,28800,2.819586,101.5199,1097,1,89,6,19.6,,,,,2,92,,13.4,,,,,1970-01-20
International,6892,"South Africa tour of New Zealand, 2024",78075,1st Test,TEST,2024-02-03,2024-02-08,Complete,New Zealand won by 281 runs,13,New Zealand,NZ,11,South Africa,RSA,393,Bay Oval,Mount Maunganui,46800,-37.670300,176.212006,13,1,511,10,143.6,3,179,4,42.6,2,162,10,72.5,4,247,10,79.6,1970-01-20
International,6297,"West Indies tour of Australia, 2024",70340,1st ODI,ODI,2024-02-02,2024-02-02,Complete,Australia won by 8 wkts,10,West Indies,WI,4,Australia,AUS,87,Melbourne Cricket Ground,Melbourne,39600,-37.819967,144.983449,4,1,231,10,48.4,,,,,2,232,2,38.3,,,,,1970-01-20
Domestic,7009,The Ford Trophy 2023-24,79494,19th Match,ODI,2024-02-05,2024-02-06,Complete,Otago won by 65 runs,105,Otago,OTG,313,Central Districts,CD,116,University Oval,Dunedin,46800,-45.874401,170.505005,105,1,213,9,49.6,,,,,2,148,10,37.5,,,,,1970-01-20
International,7579,Quadrangular Twenty20 Series in Thailand 2024,89329,6th Match,T20,2024-02-15,2024-02-15,Complete,Saudi Arabia won by 166 runs,571,Saudi Arabia,SAU,555,Bhutan,BTN,474,Terdthai Cricket Ground,Bangkok,25200,13.756331,100.501765,571,1,221,3,19.6,,,,,2,55,10,14.2,,,,,1970-01-20
League,7422,Bangladesh Premier League 2024,87043,26th Match,T20,2024-02-09,2024-02-09,Complete,Comilla Victorians won by 4 wkts,1895,Durdanto Dhaka,DRD,319,Comilla Victorians,CV,128,Shere Bangla National Stadium,Dhaka,21600,23.806966,90.363576,319,1,175,4,19.6,,,,,2,176,6,19.5,,,,,1970-01-20
Domestic,6725,Ranji Trophy 2023-24,74604,Elite Group A,TEST,2024-02-02,2024-02-05,Complete,Match drawn,171,Rajasthan,RAJ,248,Vidarbha,VID,76,Sawai Mansingh Stadium,Jaipur,19800,26.894012,75.803225,,1,432,10,130.2,,,,,2,391,10,125.3,,,,,1970-01-20
Domestic,6725,Ranji Trophy 2023-24,74664,Elite Group C,TEST,2024-02-02,2024-02-05,Complete,Match drawn,245,Punjab,PUN,595,Chandigarh,CDG,120,Sector 16 Stadium,Chandigarh,19800,30.741797,76.774915,,1,477,2,106.6,,,,,,,,,,,,,1970-01-20
Women,7539,"Kuwait Women tour of Malaysia, 2024",88975,2nd T20I,T20,2024-02-05,2024-02-05,Complete,Malaysia Women won by 5 wkts,1097,Kuwait Women,KUWW,445,Malaysia Women,MLYW,1850,Johor Cricket Academy Oval,Johor Bahru,28800,1.51634,103.64003,445,1,98,7,20.0,,,,,2,99,5,15.4,,,,,1970-01-20
Women,7565,Asian Cricket Council Womens Premier Cup 2024,89122,"9th Match, Group A",T20,2024-02-11,2024-02-11,Complete,Thailand Women won by 96 runs,382,Thailand Women,THAIW,1097,Kuwait Women,KUWW,1853,YSD-UKM Cricket Oval,Bangi,28800,2.9348189,101.7823779,382,1,177,2,19.6,,,,,2,81,9,19.6,,,,,1970-01-20
League,7422,Bangladesh Premier League 2024,87001,18th Match,T20,2024-02-02,2024-02-02,Complete,Comilla Victorians won by 7 wkts,622,Chattogram Challengers,CGC,319,Comilla Victorians,CV,379,Sylhet International Cricket Stadium,Sylhet,21600,24.898183,91.863608,319,1,72,10,16.3,,,,,2,73,3,9.2,,,,,1970-01-20
Women,7565,Asian Cricket Council Womens Premier Cup 2024,89126,"10th Match, Group B",T20,2024-02-11,2024-02-11,Complete,United Arab Emirates Women won by 148 runs,449,United Arab Emirates Women,UAEW,505,Oman Women,OMANW,511,Royal Selangor Club,Kuala Lumpur,28800,3.1495091,101.6907603,449,1,176,1,19.6,,,,,2,28,10,12.6,,,,,1970-01-20
League,7422,Bangladesh Premier League 2024,87036,25th Match,T20,2024-02-09,2024-02-09,Complete,Sylhet Strikers won by 5 wkts,627,Khulna Tigers,KLT,1412,Sylhet Strikers,SYST,128,Shere Bangla National Stadium,Dhaka,21600,23.806966,90.363576,1412,1,153,4,19.6,,,,,2,159,5,18.6,,,,,1970-01-20
Women,7565,Asian Cricket Council Womens Premier Cup 2024,89080,"2nd Match, Group B",T20,2024-02-10,2024-02-10,Complete,United Arab Emirates Women won by 121 runs,449,United Arab Emirates Women,UAEW,486,China Women,CHNW,1853,YSD-UKM Cricket Oval,Bangi,28800,2.9348189,101.7823779,449,1,155,1,19.6,,,,,2,34,10,17.5,,,,,1970-01-20
International,6927,"England tour of India, 2024",78635,2nd Test,TEST,2024-02-02,2024-02-06,Complete,India won by 106 runs,2,India,IND,9,England,ENG,154,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,19800,17.797459,83.352254,2,1,396,10,111.6,3,255,10,78.3,2,253,10,55.5,4,292,10,69.2,1970-01-20
International,6892,"South Africa tour of New Zealand, 2024",78082,2nd Test,TEST,2024-02-12,2024-02-17,Complete,New Zealand won by 7 wkts,11,South Africa,RSA,13,New Zealand,NZ,100,Seddon Park,Hamilton,46800,-37.786654,175.266647,13,1,242,10,97.2,3,235,10,69.5,2,211,10,77.3,4,269,3,94.2,1970-01-20
League,7257,"International League T20, 2024",82866,23rd Match,T20,2024-02-05,2024-02-05,Complete,Abu Dhabi Knight Riders won by 7 wkts,1312,Sharjah Warriors,SW,1300,Abu Dhabi Knight Riders,ADKR,140,Sharjah Cricket Stadium,Sharjah,14400,25.33095,55.420902,1300,1,75,10,16.6,,,,,2,79,3,10.1,,,,,1970-01-20
Domestic,6725,Ranji Trophy 2023-24,74580,Elite Group A,TEST,2024-02-02,2024-02-05,Complete,Saurashtra won by 43 runs,94,Saurashtra,SAUR,254,Maharashtra,MAH,1804,"Indira Gandhi Stadium, Park Maidan",Solapur,19800,17.6722984,75.8986931,94,1,202,10,60.1,3,164,10,43.2,2,159,10,45.4,4,164,10,51.4,1970-01-20
Domestic,6990,Sheffield Shield 2023-24,79251,21st Match,TEST,2024-02-03,2024-02-06,Complete,New South Wales won by 4 wkts,87,Western Australia,WA,104,New South Wales,NSW,38,W.A.C.A. Ground,Perth,28800,-31.959806,115.879585,104,1,256,10,87.6,3,176,10,56.5,2,251,10,99.4,4,182,6,59.3,1970-01-20
Women,7565,Asian Cricket Council Womens Premier Cup 2024,89192,"21st Mach, Group A",T20,2024-02-13,2024-02-13,Complete,Thailand Women won by 86 runs,382,Thailand Women,THAIW,509,Singapore Women,SINW,511,Royal Selangor Club,Kuala Lumpur,28800,3.1495091,101.6907603,382,1,162,5,19.6,,,,,2,76,10,18.5,,,,,1970-01-20
League,7422,Bangladesh Premier League 2024,87064,31st Match,T20,2024-02-14,2024-02-14,Complete,Fortune Barishal won by 27 runs,807,Fortune Barishal,BRSAL,1895,Durdanto Dhaka,DRD,93,Zahur Ahmed Chowdhury Stadium,Chattogram,21600,22.355898,91.767766,807,1,186,6,19.6,,,,,2,159,8,19.6,,,,,1970-01-20
Domestic,6983,Australia Domestic One-Day Cup 2023-24,79200,19th Match,ODI,2024-02-14,2024-02-14,Complete,South Australia won by 5 wkts,164,Queensland,QL,158,South Australia,SAUS,527,Karen Rolton Oval,"Adelaide, South Australia",37800,-34.9191215,138.5815232,158,1,218,10,49.4,,,,,2,223,5,44.1,,,,,1970-01-20
League,7257,"International League T20, 2024",82873,25th Match,T20,2024-02-07,2024-02-07,Complete,Sharjah Warriors won by 7 wkts,1300,Abu Dhabi Knight Riders,ADKR,1312,Sharjah Warriors,SW,94,Sheikh Zayed Stadium,Abu Dhabi,14400,24.416138,54.453566,1312,1,94,10,17.1,,,,,2,95,3,13.5,,,,,1970-01-20
League,7422,Bangladesh Premier League 2024,87057,29th Match,T20,2024-02-13,2024-02-13,Complete,Comilla Victorians won by 73 runs,319,Comilla Victorians,CV,622,Chattogram Challengers,CGC,93,Zahur Ahmed Chowdhury Stadium,Chattogram,21600,22.355898,91.767766,319,1,239,3,19.6,,,,,2,166,10,16.3,,,,,1970-01-20
Women,7565,Asian Cricket Council Womens Premier Cup 2024,89178,"19th Match, Group C",T20,2024-02-13,2024-02-13,Complete,Malaysia Women won by 126 runs,445,Malaysia Women,MLYW,1083,Bahrain Women,BHRW,394,Bayuemas Oval,Kuala Lumpur,28800,2.819586,101.5199,445,1,188,3,19.6,,,,,2,62,10,16.6,,,,,1970-01-20
Women,7565,Asian Cricket Council Womens Premier Cup 2024,89073,"1st Match, Group A",T20,2024-02-10,2024-02-10,Complete,Thailand Women won by 10 wkts,1517,Myanmar Women,MMRW,382,Thailand Women,THAIW,394,Bayuemas Oval,Kuala Lumpur,28800,2.819586,101.5199,382,1,32,10,16.4,,,,,2,34,,4.4,,,,,1970-01-20
League,7422,Bangladesh Premier League 2024,87050,28th Match,T20,2024-02-10,2024-02-10,Complete,Fortune Barishal won by 40 runs,807,Fortune Barishal,BRSAL,1895,Durdanto Dhaka,DRD,128,Shere Bangla National Stadium,Dhaka,21600,23.806966,90.363576,807,1,189,4,19.6,,,,,2,149,10,19.4,,,,,1970-01-20
Women,7565,Asian Cricket Council Womens Premier Cup 2024,89161,"16th Match, Group D",T20,2024-02-11,2024-02-11,Complete,Hong Kong Women won by 172 runs,502,Hong Kong Women,HKW,1444,Maldives Women,MDVW,394,Bayuemas Oval,Kuala Lumpur,28800,2.819586,101.5199,502,1,222,1,19.6,,,,,2,50,10,15.4,,,,,1970-01-20
Domestic,7009,The Ford Trophy 2023-24,79508,21st Match,ODI,2024-02-05,2024-02-06,Complete,Wellington won by 45 runs,314,Wellington,WEL,294,Northern Knights,NK,45,Basin Reserve,Wellington,46800,-41.161720,175.323914,314,1,330,8,49.6,,,,,2,285,10,48.6,,,,,1970-01-20
Women,7565,Asian Cricket Council Womens Premier Cup 2024,89199,"22nd Match, Group B",T20,2024-02-13,2024-02-13,Complete,United Arab Emirates Women won by 10 wkts,487,Japan Women,JPNW,449,United Arab Emirates Women,UAEW,1293,Selangor Turf Club,Kuala Lumpur,28800,3.0446268,101.3394008,449,1,67,7,19.6,,,,,2,68,,10.3,,,,,1970-01-20
Domestic,7009,The Ford Trophy 2023-24,79524,25th Match,ODI,2024-02-13,2024-02-14,Complete,Otago won by 6 wkts,294,Northern Knights,NK,105,Otago,OTG,82,John Davies Oval,Queenstown,46800,-45.016205,168.738638,105,1,184,10,48.1,,,,,2,187,4,39.1,,,,,1970-01-20
